Genres,Type,Source,Studios,Rating,Episodes
"adventure, comedy, mystery",tv,manga,tms entertainment,pg-13 - teens 13 or older,2.0
"adventure, comedy, drama, sci-fi, supernatural",tv,manga,pierrot,pg-13 - teens 13 or older,26.0
"adventure, drama, romance, sci-fi",tv,original,bones,pg-13 - teens 13 or older,50.0
"action, adventure",tv,manga,pierrot,pg-13 - teens 13 or older,42.0
"award winning, drama, mystery, sci-fi, supernatural, suspense",tv,novel,gonzo,r - 17+ (violence & profanity),24.0
"comedy, slice of life",tv,manga,palm studio,pg-13 - teens 13 or older,12.0
"comedy, fantasy, romance, ecchi",tv,manga,aic spirits,r+ - mild nudity,11.0
"comedy, drama, slice of life",tv,manga,madhouse,r - 17+ (violence & profanity),13.0
"boys love, comedy",tv,manga,studio deen,pg-13 - teens 13 or older,13.0
mystery,tv,novel,olm,g - all ages,39.0
comedy,tv,manga,pierrot,r - 17+ (violence & profanity),43.0
"adventure, comedy, fantasy, romance",tv,manga,studio deen,pg-13 - teens 13 or older,51.0
"fantasy, romance",tv,visual novel,yumeta company,pg-13 - teens 13 or older,26.0
"comedy, romance, ecchi",tv,manga,madhouse,pg-13 - teens 13 or older,12.0
"action, adventure, fantasy, romance",tv,manga,sunrise,pg-13 - teens 13 or older,167.0
"adventure, comedy, supernatural",tv,manga,toei animation,pg-13 - teens 13 or older,150.0
"adventure, comedy, fantasy",tv,light novel,studio deen,pg-13 - teens 13 or older,78.0
"drama, mystery, supernatural",tv,original,bee train,pg-13 - teens 13 or older,26.0
"comedy, slice of life",tv,manga,shin-ei animation,pg-13 - teens 13 or older,26.0
"comedy, slice of life",ova,manga,shin-ei animation,pg-13 - teens 13 or older,6.0
"award winning, comedy, slice of life",ova,manga,shin-ei animation,pg-13 - teens 13 or older,7.0
"award winning, drama, romance, sci-fi",ova,original,comix wave films,pg-13 - teens 13 or older,1.0
ecchi,tv,manga,j.c.staff,r+ - mild nudity,13.0
"drama, horror",ova,manga,madhouse,r - 17+ (violence & profanity),4.0
"comedy, romance",ova,unknown,"studio kyuuma, venet, chaos project",pg-13 - teens 13 or older,5.0
"comedy, drama, romance",tv,manga,studio hibari,pg-13 - teens 13 or older,13.0
"comedy, romance",tv,manga,studio hibari,pg-13 - teens 13 or older,13.0
"comedy, romance",ova,manga,studio ranmaru,pg-13 - teens 13 or older,3.0
sports,tv,manga,madhouse,pg-13 - teens 13 or older,75.0
sports,special,manga,madhouse,pg-13 - teens 13 or older,1.0
sports,ova,manga,madhouse,pg-13 - teens 13 or older,1.0
"action, drama, romance, sci-fi",tv,game,j.c.staff,pg-13 - teens 13 or older,12.0
"action, drama, sci-fi",tv,game,madhouse,r - 17+ (violence & profanity),26.0
"adventure, comedy, ecchi",ova,manga,appp,r+ - mild nudity,6.0
"action, adventure, fantasy",tv,manga,pierrot,pg-13 - teens 13 or older,366.0
"action, horror, supernatural",tv,manga,gonzo,r - 17+ (violence & profanity),13.0
"action, adventure, sci-fi",tv,original,gonzo,pg-13 - teens 13 or older,26.0
"action, drama, mystery",tv,original,bee train,pg-13 - teens 13 or older,26.0
slice of life,tv,manga,j.c.staff,pg-13 - teens 13 or older,12.0
"action, sci-fi, ecchi",tv,original,gonzo,r+ - mild nudity,24.0
"comedy, romance, ecchi",tv,original,"imagin, studio live",r+ - mild nudity,9.0
"comedy, romance, sci-fi, ecchi",tv,manga,"gainax, shaft",r+ - mild nudity,12.0
"comedy, drama, romance, sci-fi, ecchi",tv,manga,"gainax, shaft",r+ - mild nudity,14.0
"action, comedy, sci-fi",tv,game,group tac,pg-13 - teens 13 or older,51.0
"fantasy, horror, mystery, supernatural",tv,novel,tms entertainment,r - 17+ (violence & profanity),13.0
"adventure, comedy, fantasy",tv,manga,gallop,g - all ages,51.0
"comedy, romance",ova,visual novel,silver,pg-13 - teens 13 or older,3.0
"action, drama, mystery, romance",tv,manga,tms entertainment,pg-13 - teens 13 or older,50.0
drama,tv,novel,nippon animation,g - all ages,50.0
"action, drama, romance",tv,manga,group tac,pg-13 - teens 13 or older,12.0
"action, adventure, drama, sci-fi",tv,original,sunrise,pg-13 - teens 13 or older,25.0
"adventure, sci-fi",tv,manga,tms entertainment,pg-13 - teens 13 or older,25.0
sports,tv,manga,group tac,pg-13 - teens 13 or older,24.0
"action, adventure, comedy, sports",tv,manga,madhouse,pg - children,51.0
"comedy, drama",tv,visual novel,olm,pg-13 - teens 13 or older,13.0
"action, romance, sci-fi",tv,light novel,sunrise,pg-13 - teens 13 or older,13.0
"comedy, drama, romance, supernatural",tv,visual novel,feel.,pg-13 - teens 13 or older,26.0
"drama, sports",tv,manga,a.c.g.t.,pg-13 - teens 13 or older,26.0
"comedy, fantasy, sci-fi",tv,original,madhouse,g - all ages,16.0
"adventure, comedy, drama, sci-fi",tv,original,radix,r+ - mild nudity,13.0
"adventure, drama, sci-fi",tv,original,radix,pg-13 - teens 13 or older,13.0
"action, adventure, comedy, fantasy, sci-fi",tv,manga,madhouse,pg - children,38.0
"action, adventure, comedy, ecchi",tv,manga,"group tac, studio live",pg-13 - teens 13 or older,12.0
"adventure, comedy, fantasy",tv,manga,bee train,pg-13 - teens 13 or older,12.0
mystery,ova,original,bee train,pg-13 - teens 13 or older,4.0
